"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","Summer (May-Sep)","mean",5.73,2.7,9.28,1.14,856.06,76.58,1.52,2.76,26.89,8.95,197.7
"Atlin Monarch Mt","Summer (May-Sep)","max",18.86,14.96,22.92,24.2,870.5,100,8.98,7.05,88.98,23.01,395.78
"Atlin Monarch Mt","Summer (May-Sep)","min",-4.98,-7.94,-2.57,0,842.9,32.55,-11.76,0.1,270.72,3.52,9.05
"Atlin Monarch Mt","Summer (May-Sep)","obs_na",610,610,610,301,1069,610,610,825,872,825,568
"Atlin Monarch Mt","Winter (Oct-Apr)","mean",-9.32,-11.65,-6.99,0.12,853.23,86.07,-11.36,2.34,14.85,7.87,62.2
"Atlin Monarch Mt","Winter (Oct-Apr)","max",9.05,6.31,13.69,11.2,1054.8,100,5.25,9.57,89.68,39.33,307.75
"Atlin Monarch Mt","Winter (Oct-Apr)","min",-34.72,-36.15,-33.06,0,803.8,30.68,-37.13,0,270.15,0,1.6
"Atlin Monarch Mt","Winter (Oct-Apr)","obs_na",849,849,849,424,1486,849,849,930,1209,930,762
"Atlin School","Summer (May-Sep)","mean",10.23,5.19,15.42,0.65,NA,68.75,4.13,0.39,23.06,3.83,87.76
"Atlin School","Summer (May-Sep)","max",20.29,14,29.95,19.4,-Inf,98.9,13.94,1.36,89.44,8.53,190.46
"Atlin School","Summer (May-Sep)","min",0.23,-4.67,2.69,0,Inf,35.1,-8.38,0,270.79,1.11,1.85
"Atlin School","Summer (May-Sep)","obs_na",59,59,59,59,1223,189,189,59,59,59,59
"Atlin School","Winter (Oct-Apr)","mean",-5.78,-9.56,-1.82,0.3,NA,79.87,-8.88,0.28,3.26,3.17,28.4
"Atlin School","Winter (Oct-Apr)","max",10.35,7.9,16.7,38,-Inf,99.98,6.89,1.96,89.92,12.99,174.58
"Atlin School","Winter (Oct-Apr)","min",-33.58,-37.34,-29.39,0,Inf,40.27,-36.5,0,270.78,0,0.65
"Atlin School","Winter (Oct-Apr)","obs_na",0,0,0,0,1698,212,212,0,0,0,0
"Barren","Summer (May-Sep)","mean",13.04,7.25,18.79,1.26,896.33,69.77,6.95,1.01,37.74,7.4,197.88
"Barren","Summer (May-Sep)","max",21.48,13.43,29.32,13.2,904.71,89.7,10.64,2.5,74.82,13.09,314.37
"Barren","Summer (May-Sep)","min",4.75,-0.09,9.24,0,887.23,47.67,2.74,0.21,283.32,4.03,76.71
"Barren","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Bednesti Tamarac","Summer (May-Sep)","mean",13.25,7.83,19.1,1.23,NA,68.2,6.95,1.13,NA,7.4,NA
"Bednesti Tamarac","Summer (May-Sep)","max",23.83,16.89,31.89,10.2,-Inf,93.52,14.4,3.03,-Inf,12.84,-Inf
"Bednesti Tamarac","Summer (May-Sep)","min",6.29,0.91,7.77,0,Inf,44.73,0.38,0.39,Inf,3.78,Inf
"Bednesti Tamarac","Summer (May-Sep)","obs_na",0,0,0,0,63,0,0,0,63,0,63
"Bednesti Tamarac","Winter (Oct-Apr)","mean",3.54,0.19,7.01,1.14,NA,80.62,0.17,1,NA,6.86,NA
"Bednesti Tamarac","Winter (Oct-Apr)","max",10.22,8.44,13.81,6.8,-Inf,98.35,3.99,2.71,-Inf,13.35,-Inf
"Bednesti Tamarac","Winter (Oct-Apr)","min",-2.14,-5.54,-0.37,0,Inf,51.97,-3.27,0.13,Inf,3.27,Inf
"Bednesti Tamarac","Winter (Oct-Apr)","obs_na",0,0,0,0,22,0,0,0,22,0,22
"Blackhawk","Summer (May-Sep)","mean",11.5,3.34,18.25,1.77,903.16,70.65,5.29,1.15,23.71,8.24,190.01
"Blackhawk","Summer (May-Sep)","max",28.2,18.01,39.86,56.8,920.44,100,17.14,4.53,89.97,20.41,353.38
"Blackhawk","Summer (May-Sep)","min",-3.84,-11.61,-2.48,0,879.11,32.53,-11.4,0,270.09,0.25,14.05
"Blackhawk","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,265,0,0
"Blackhawk","Winter (Oct-Apr)","mean",-4.98,-11.51,0.92,0.51,900.69,79.27,-8.53,1.02,20.57,7.37,69.54
"Blackhawk","Winter (Oct-Apr)","max",15.98,9.85,25.96,23,928.41,100,7.31,6.79,89.97,25.42,276.6
"Blackhawk","Winter (Oct-Apr)","min",-37.25,-45.28,-31.26,0,873.73,30.69,-39.77,0,270.38,0,2.22
"Blackhawk","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,318,0,0
